Crossnumber,Repeat_Pollination_Date,Location
SE202010_(243457C1/242999),2020-10-24,Kawanda
SE202010_(243501C1/243057),2020-10-24,Kawanda
SE202010_(243441C1/242999),2020-10-24,Kawanda
SE202010_(243513C2/242896),2020-10-24,Kawanda
SE202010_(244290C1/242999),2020-10-24,Kawanda
SE202010_(243563C2/242866),2020-10-24,Kawanda
SE202010_(242828C1/242990),2020-10-24,Kawanda
SE202010_(242953C1/242990),2020-10-24,Kawanda
SE202010_(240071C1/242855),2020-10-25,Kawanda
SE202010_(242828C1/242990),2020-10-25,Kawanda
SE202010_(242953C1/242990),2020-10-25,Kawanda
SE202010_(242418C1/242996),2020-10-23,Kawanda
SE202010_(242503C1/243074),2020-10-25,Kawanda
SE202010_(242404C1/243074),2020-10-25,Kawanda
SE202010_(243457C1/242999),2020-10-25,Kawanda
SE202010_(243501C1/243057),2020-10-25,Kawanda
SE202010_(243441C1/242999),2020-10-25,Kawanda
SE202010_(244170C1/242999),2020-10-25,Kawanda
SE202010_(244304C1/242999),2020-10-25,Kawanda
SE202010_(244290C1/242999),2020-10-25,Kawanda
SE202010_(243563C2/242866),2020-10-25,Kawanda
SE202010_(242503C1/243074),2020-10-26,Kawanda
SE202010_(242828C1/242990),2020-10-26,Kawanda
SE202010_(242953C1/242990),2020-10-26,Kawanda
SE202010_(242404C1/243074),2020-10-26,Kawanda
SE202010_(243563C2/242866),2020-10-26,Kawanda
SE202010_(244290C1/242999),2020-10-26,Kawanda
SE202010_(244304C1/242999),2020-10-26,Kawanda
SE202010_(244170C1/242999),2020-10-26,Kawanda
SE202010_(243501C1/243057),2020-10-26,Kawanda
SE202010_(243441C1/242999),2020-10-26,Kawanda
SE202010_(242828C1/242990),2020-10-27,Kawanda
SE202010_(242953C1/242990),2020-10-27,Kawanda
SE202010_(243613C1/243057),2020-10-27,Kawanda
SE202010_(244290C1/242999),2020-10-27,Kawanda
SE202010_(244173C1/242999),2020-10-27,Kawanda
SE202010_(242513C1/242850),2020-10-28,Kawanda
SE202010_(240112C1/242855),2020-10-28,Kawanda
SE202010_(243628C1/242896),2020-10-25,Kawanda
SE202010_(243628C1/242896),2020-10-26,Kawanda
SE202010_(243628C1/242896),2020-10-27,Kawanda
SE202010_(243589C1/242896),2020-10-28,Kawanda
SE202010_(242987C1/242859),2020-10-28,Kawanda
SE202010_(242968C1/242859),2020-10-28,Kawanda
SE202010_(243613C1/243057),2020-10-28,Kawanda
SE202010_(244173C1/242999),2020-10-28,Kawanda
SE202010_(244290C1/242999),2020-10-28,Kawanda
SE202010_(240112C1/242855),2020-10-29,Kawanda
SE202010_(243589C1/242896),2020-10-29,Kawanda
SE202010_(243613C1/243057),2020-10-29,Kawanda
SE202010_(244173C1/242999),2020-10-29,Kawanda
SE202010_(242987C1/242859),2020-10-29,Kawanda
SE202010_(242968C1/242859),2020-10-29,Kawanda
SE202010_(240112C1/242855),2020-10-30,Kawanda
SE202010_(243589C1/242896),2020-10-30,Kawanda
SE202010_(242968C1/242859),2020-10-30,Kawanda
SE202010_(242987C1/242859),2020-10-30,Kawanda
SE202010_(243613C1/243057),2020-10-30,Kawanda
SE202010_(243422C1/242999),2020-10-30,Kawanda
SE202010_(244173C1/242999),2020-10-30,Kawanda
SE202010_(243613C1/243057),2020-10-31,Kawanda
SE202010_(243422C1/242999),2020-10-31,Kawanda
SE202010_(244173C1/242999),2020-10-31,Kawanda
SE202010_(243589C1/242896),2020-10-31,Kawanda
SE202010_(243422C1/242999),2020-11-01,Kawanda
SE202010_(244173C1/242999),2020-11-01,Kawanda
SE202010_(242987C1/242859),2020-10-31,Kawanda
SE202010_(242968C1/242859),2020-10-31,Kawanda
SE202010_(244173C1/242999),2020-11-02,Kawanda
SE202010_(243422C1/242999),2020-11-02,Kawanda
SE202011_(242905C1/242977),2020-11-03,Kawanda
SE202011_(242458C1/242850),2020-11-03,Kawanda
SE202011_(240009C1/242855),2020-11-03,Kawanda
SE202011_(242933C1/242845),2020-11-03,Kawanda
SE202011_(244406C1/244242),2020-11-03,Kawanda
SE202011_(244406C1/244242),2020-11-04,Kawanda
SE202011_(240009C1/242855),2020-11-04,Kawanda
SE202011_(242916C1/243074),2020-11-04,Kawanda
SE202011_(242933C1/242845),2020-11-04,Kawanda
SE202011_(244101C1/242999),2020-11-04,Kawanda
SE202011_(243921C1/242999),2020-11-04,Kawanda
SE202011_(243423C1/242896),2020-11-04,Kawanda
SE202011_(243611C1/242896),2020-11-03,Kawanda
SE202011_(243611C1/242896),2020-11-04,Kawanda
SE202011_(242905C1/242977),2020-11-04,Kawanda
SE202011_(244406C1/244242),2020-11-05,Kawanda
SE202011_(240179C1/242875),2020-11-05,Kawanda
SE202011_(240013C1/242875),2020-11-05,Kawanda
SE202011_(242933C1/242845),2020-11-05,Kawanda
SE202011_(242916C1/243074),2020-11-05,Kawanda
SE202011_(243386C1/242999),2020-11-05,Kawanda
SE202011_(244193C1/242999),2020-11-05,Kawanda
SE202011_(244101C1/242999),2020-11-05,Kawanda
SE202011_(243921C1/242999),2020-11-05,Kawanda
SE202011_(243423C1/242896),2020-11-05,Kawanda
SE202011_(242905C1/242977),2020-11-05,Kawanda
SE202011_(243611C1/242896),2020-11-05,Kawanda
SE202011_(243423C1/242896),2020-11-06,Kawanda
SE202011_(244193C1/242999),2020-11-06,Kawanda
SE202011_(244091C1/242999),2020-11-06,Kawanda
SE202011_(244101C1/242999),2020-11-06,Kawanda
SE202011_(243921C1/242999),2020-11-06,Kawanda
SE202011_(243924C1/242999),2020-11-06,Kawanda
SE202011_(243386C1/242999),2020-11-06,Kawanda
SE202011_(242905C1/242977),2020-11-06,Kawanda
SE202011_(240013C1/242875),2020-11-06,Kawanda
SE202011_(240179C1/242875),2020-11-06,Kawanda
SE202011_(242916C1/243074),2020-11-06,Kawanda
SE202011_(242933C1/242845),2020-11-06,Kawanda
SE202011_(240179C1/242875),2020-11-07,Kawanda
SE202011_(243386C1/242999),2020-11-07,Kawanda
SE202011_(243423C1/242896),2020-11-07,Kawanda
SE202011_(244193C1/242999),2020-11-07,Kawanda
SE202011_(244038C1/242999),2020-11-07,Kawanda
SE202011_(243921C1/242999),2020-11-07,Kawanda
SE202011_(243985C1/242999),2020-11-07,Kawanda
SE202011_(243924C1/242999),2020-11-07,Kawanda
SE202011_(244091C1/242999),2020-11-07,Kawanda
SE202011_(240179C1/242875),2020-11-08,Kawanda
SE202011_(240130C1/242875),2020-11-08,Kawanda
SE202011_(243025C2/243074),2020-11-08,Kawanda
SE202011_(243903C1/244010),2020-11-08,Kawanda
SE202011_(243921C1/242999),2020-11-08,Kawanda
SE202011_(243985C1/242999),2020-11-08,Kawanda
SE202011_(243979C1/242999),2020-11-08,Kawanda
SE202011_(244091C1/242999),2020-11-08,Kawanda
SE202011_(244038C1/242999),2020-11-08,Kawanda
SE202011_(244193C1/242999),2020-11-08,Kawanda
SE202011_(243423C1/242896),2020-11-08,Kawanda
SE202011_(243924C1/242999),2020-11-08,Kawanda
SE202011_(242458C1/242850),2020-11-04,Kawanda
SE202011_(243922C1/244357),2020-11-09,Kawanda
SE202011_(244064C1/242996),2020-11-09,Kawanda
SE202011_(240139C1/242875),2020-11-09,Kawanda
SE202011_(240130C1/242875),2020-11-09,Kawanda
SE202011_(243765C1/242896),2020-11-09,Kawanda
SE202011_(243690C1/242999),2020-11-09,Kawanda
SE202011_(243386C1/242999),2020-11-09,Kawanda
SE202011_(244038C1/242999),2020-11-09,Kawanda
SE202011_(244193C1/242999),2020-11-09,Kawanda
SE202011_(244091C1/242999),2020-11-09,Kawanda
SE202011_(243921C1/242999),2020-11-09,Kawanda
SE202011_(243985C1/242999),2020-11-09,Kawanda
SE202011_(243924C1/242999),2020-11-09,Kawanda
SE202011_(243979C1/242999),2020-11-09,Kawanda
SE202011_(243690C1/242999),2020-11-10,Kawanda
SE202011_(244038C1/242999),2020-11-10,Kawanda
SE202011_(243924C1/242999),2020-11-10,Kawanda
SE202011_(243979C1/242999),2020-11-10,Kawanda
SE202011_(243985C1/242999),2020-11-10,Kawanda
SE202011_(240130C1/242875),2020-11-10,Kawanda
SE202011_(240139C1/242875),2020-11-10,Kawanda
SE202011_(244064C1/242996),2020-11-10,Kawanda
SE202011_(243922C1/244357),2020-11-10,Kawanda
SE202011_(243765C1/242896),2020-11-10,Kawanda
SE202011_(243922C1/244357),2020-11-11,Kawanda
SE202011_(244064C1/242996),2020-11-11,Kawanda
