FlowerID,Genotype,Plant_Sex,Flowering_Date,Location
Nakawere-R-5-C-13,Nakawere,female,2020-12-11,Kawanda
IITA-Nakyetengu-R-7-C-28,IITA-Nakyetengu,female,2020-12-11,Kawanda
660K-1-r6-c8,660K-1,female,2020-12-11,Kawanda
376K-1-R-5--C-42,376K-1,female,2020-12-12,Kawanda
222K-1-r2-c12,222K-1,female,2020-12-12,Kawanda
246K-1-R-7--C-55,246K-1,female,2020-12-13,Kawanda
376K-1-R-7--C-9,376K-1,female,2020-12-13,Kawanda
376K-1-r4-c24,376K-1,female,2020-12-14,Kawanda
401K-1-r5-c25,401K-1,female,2020-12-14,Kawanda
enz-r9-c13,ITC1354-Enzirabahima,female,2020-12-14,Kawanda
Bitambi-R-8-C-5,Bitambi,female,2020-12-11,Kawanda
Nakawere-R-8-C-14,Nakawere,female,2020-12-15,Kawanda
Nakawere-R-7-C-9,Nakawere,female,2020-12-15,Kawanda
Kabucuragye-R-1-C-21,Kabucuragye,female,2020-12-15,Kawanda
917K-2-R-2--C-50,917K-2,female,2020-12-15,Kawanda
222K-1-r7-c11,222K-1,female,2020-12-15,Kawanda
401K-1-R-8--C-61,401K-1,female,2020-12-16,Kawanda
Nakawere-R-1-C-9,Nakawere,female,2020-12-16,Kawanda
Bitambi-R-8-C-5,Bitambi,female,2020-12-16,Kawanda
1411K-1-R-2--C-45,1411K-1,female,2020-12-16,Kawanda
365K-1-r7-c17,365K-1,female,2020-12-16,Kawanda
Nabio1117-R-7--C-56,Nabio1117,female,2020-12-17,Kawanda
1411K-1-R-7--C-58,1411K-1,female,2020-12-17,Kawanda
Namande-r1-c46,Namande,female,2020-12-17,Kawanda
enz-r4-c2,ITC1354-Enzirabahima,female,2020-12-17,Kawanda
enz-r8-c5,ITC1354-Enzirabahima,female,2020-12-17,Kawanda
Namande-r7-c46,Namande,female,2020-12-17,Kawanda
401K-1-R-1--C-38,401K-1,female,2020-12-18,Kawanda
365K-1-r5-c17,365K-1,female,2020-12-19,Kawanda
1411K-1-R-7--C-44,1411K-1,female,2020-12-19,Kawanda
199K-3-R-1--C-53,199K-3,female,2020-12-21,Kawanda
1411K-1-R-7--C-44,1411K-1,female,2020-12-21,Kawanda
